001,233168
002,4613732
003,6857
004,906609
005,232792560
006,25164150
007,104743
008,23514624000
009,31875000
010,142913828922
011,70600674
012,76576500
013,5537376230
014,531441
015,137846528820
016,1366
017,21124
018,[1074]
019,171
020,648
021,31626
022,871198282
023,"slow (>5s)"
024,"2783915460"
025,4782
026,127
027,"-59231"
028,669171001
029,9183
030,443839
031,73682
032,"5 seconds"
033,100
034,40730
035,"5 seconds"
036,"4 seconds"
037,748317
038,932718654
039,"4 seconds"
040,210
041,7652413
042,162
043,16695334890
044,"15 seconds"
045,1533776805
046,"4 seconds"
047,134043
048,9110846700
049,296962999629
050,"5 seconds"
051,31 seconds
052,"32 seconds"
053,4075
054,376
055,136
056,972
057,153
058,26241
059,107359
062,127035954683
063,49
067,7273
069,510510
071,"19 seconds"
076,190569291
092,85623
097,8739992577
099,709
206,1929374254627488900
